"","key","Key_RX_ProgID","Curr_RX_ProgID","RX_ProgName","RX_ProgDescription","DatabaseName","Org","ProgID","ProgName","ProgDescription","Lat","Long","Pop"
"4","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",181,"Engineering Design Standards","Creation  and update of standards for street design, surface water management, water distribution and sanitary sewer services for contractors and consultants.","36.644180","-93.232727",11430
"3","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BeniciaCA","City of Benicia",3025,"Engineering Design & Construction Standards","Professional Engineering by Division of Engineering Staff","38.0494","-122.1586",26997
"1","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",467,"Engineering Design Work (Water, Sewer, Stormwater)","Design water, sewer, and stormwater project to ensure safe drinking water,","34.0366","-80.9043",131114
"2","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_2018ColumbiaSC_copy1","City of Columbia, SC (NEW)",468,"Engineering Design Work (other City Departments - Parks & Rec, Police, Public Works, etc.)","<ADD DESCRIPTION>","34.0366","-80.9043",131114
"7","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_FortCollinsCO","City of Fort Collins",825,"ENHANCEMENT CAPITAL - Utilities: Wastewater/Water - New Pollution Control and Water Quality Lab 30% Design","Funding this offer will provide for the preparation of a 30% engineering design for a consolidated Water Quality (WQL) and Pollution Control (PCL) laboratory facility.  The construction of a new combined water quality laboratory was identified through the 2017-2018 WQL/PCL Capital Project Master Planning process, as having a high cost-benefit for Utilities compared to repair or replacement of the existing facilities.","40.5487","-105.0656",165080
"11","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_GardenCityKS","Finney County",1655,"Roadway Engineering Design and  Standards","Roadway Engineering Design and  Standards","37.9716898","-100.8726618",37084
"10","engineering design","554",554,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_GardenCityKS","Finney County",554,"Engineering Design and Construction Standards Development","Manage project design and the development of standard details and county specifications","37.9716898","-100.8726618",37084
"12","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_IdahoFallsID","Idaho Falls",2116,"Engineering Design -City Projects","Perform in-house conceptual, preliminary, and final design of most City   infrastructure projects, including final plan preparation for construction.","43.4927","-112.0408",56813
"13","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_IdahoFallsID","Idaho Falls",2149,"Construction Engineering Support","Provide information for construction staking and address engineering design issues that arise during construction. After City construction contracts start.  All the necessary project control for location and elevation for the new infrastructure is staked on the project site.","43.4927","-112.0408",56813
"15","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_IdahoFallsID_1","Idaho Falls (NEW MODEL)",1415,"Engineering Design -City Projects","Perform in-house conceptual, preliminary, and final design of most City   infrastructure projects, including final plan preparation for construction.",NA,NA,NA
"17","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_IdahoFallsID_1","Idaho Falls (NEW MODEL)",1448,"Construction Engineering Support","Provide information for construction staking and address engineering design issues that arise during construction. After City construction contracts start.  All the necessary project control for location and elevation for the new infrastructure is staked on the project site.",NA,NA,NA
"19","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_LawrenceKS","Lawrence",573,"Project design","Engineering design and production of construction plans","38.9603","-95.2643",96892
"18","engineering design","554",554,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_LawrenceKS","Lawrence",561,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","38.9603","-95.2643",96892
"21","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_MonroeWI","Monroe",229,"Civil Engineering Design Services - Infrastructure Projects","none","42.601","-89.6437",10827
"23","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_RapidCitySD","Rapid City",1262,"Professional Engineering Design Services","Design team effort in managing consultants on the design  infrastructure and Capital Improvement projects.","44.0805","103.2310",74048
"25","engineering design","554",554,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_RioRanchoNM","Rio Rancho",565,"Engineering Design and Construction Standards Development","Manage the development of standard details and City specifications.","35.2873","-106.6979",89320
"27","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_RioRanchoNM","Rio Rancho",623,"Engineering Design and Construction Standards Development - Utilities","Manage the development of standard details and city specifications.","35.2873","-106.6979",89320
"29","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_RoswellGA","Roswell",301,"Engineering Design","Develop construction documents from project concept through construction contractor acquisition.","34.0391","-84.3513",94786
"34","engineering design","554",554,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_SteamboatSpringsCO","Routt County",2311,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","40.4772","-107.1012",25220
"30","engineering design","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_SouthJordanUT","South Jordan",1196,"Capital Improvement Project (CIP) Design","Provide boundary and topographic survey and engineering design for capital improvement projects. Acquire property necessary for construction and right-of-way. Prepare construction drawings and specifications for construction.","40.5571","-111.9783",70954
"31","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BattleCreekMI","Battle Creek",520,"Guard rail maintenance","Staff, equipment, and materials to  maintain guard rails to Michigan Uniform Traffic Control Device Standards","42.2985","-85.2295",51286
"291","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BattleCreekMI","Battle Creek",207,"Board of Appeals Administration","The Board of Appeals is established for the purpose of hearing and deciding appeals concerning the application or interpretation of the provisions and standards of the Property Maintenance Code and Rental Housing Ordinance.","42.2985","-85.2295",51286
"272","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BattleCreekMI","Battle Creek",189,"Dangerous Buildings Hearings Administration","Addresses properties that have fallen into disrepair and do not meet safety standards. Conducts inspections and when necessary cost of repair estimates in addition to providing administrative support to the Dangerous Buildings Officer that reviews property conditions to make a determination as to if a structure should be demolished.","42.2985","-85.2295",51286
"44","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BoiseID","Boise",130,"Training - Medical","Medical is training on annual competencies and Credit Education Unit (CEUs) for requirements to maintain EMT-B (basic) and Paramedic Certification; this is based on Idaho EMS Bureau state requirements and standards. 
1) Train: Training development, plan, and delivery by instructors to firefighters.  Training received by firefighters for the purpose of new recruit delivery, maintaining & advancing skills, attaining future rank status, leadership development, emotional intelligence, equipment usage, and safety.  Collaboration with local agencies for coordinated tactics and training. 2) Drills: Daily crew drills; 3) Credentials: Participating, performing, and documenting credentialed and certified training (i.e. ISO, EMS, etc.) required by the department and the region; and 4) R&D:  Training techniques and tactics development and adjustment; equipment R&D best practices","43.5991","-116.2306",226570
"43","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BoiseID","Boise",116,"Project Mgmt & Strategic Planning","1) Project Management: Formal project management including project plans, gantt charts/timing, accountability, risk factors, communication plans, implementation, change management, success measures, monitoring, reporting and final success review.  Develop and oversee Command Staff projects, programs, and department workplans; 2) Strategic Planning: Performs full scale strategic planning development including defining the process, alignment with dept. mission/vision, performing a SWOT, vetting submissions, fielding the scoring & competitive process, resource review, and assembling the final plan.  Monitoring of progress for timelines and action steps completion & adjustments; 3) Planning: Collboration and coordination across the department, the city, other agencies, the county, the state, the region for full service emergency planning and response.  Define and implement best practices.  Adjust to performance measures and industry standards. Develop and monitor equipment and capital plans, including grant awards.","43.5991","-116.2306",226570
"42","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BoiseID","Boise",25,"Building Division Admin","The Building Division, through the Building Official, Assistant Building Officials, Plans Examiners, Inspectors and Permitting Technicians provide for the administration, education and enforcement of building, plumbing, electrical and structural codes in an effort to protect the lives and welfare of the citizens of Boise by allowing and maintaining the highest quality standards.","43.5991","-116.2306",226570
"45","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BoiseID","Boise",175,"GIS Technology Maintenance/Support/Standards","Program management including System Architecture, Software/Database administration, Lifecycle/Upgrade events, Quality Assurance and Quality Control of spatial data, Business Analysis and Integration workflows. Maintain Metadata and documentation, GIS Work Plans, GIS web standards, Change Management, Vendor Contracts and Professional Training. Participate in and/or lead local and Regional GIS Group meetings to network, gather and relay information. ","43.5991","-116.2306",226570
"50","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BourneMA","Bourne",2636,"Unscheduled  Maintenance","The care and servicing by personnel to include procedures, instructions, and standards for maintenance that occurs on an unscheduled or unforeseen basis.",NA,NA,NA
"46","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BourneMA","Bourne",2095,"Food Service Establishment Inspections and Enforcement","Enforce Chapter X of the State Sanitary Code: Minimum Sanitation Standards for Food Establishments, 105 CMR 590.000, via pre-operational, routine, and compliant based inspections.",NA,NA,NA
"47","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BourneMA","Bourne",2097,"Housing Inspections and Enforcement","Enforce Chapter II of the State Sanitary Code: Minimum Standards of Fitness for Human Habitation, M.G.L. c.111, ss.127A and 127B: 105 CMR 410.000.  Conduct inspections of dwellings for compliance with the minimum standards, certify violations, issue orders to correct, hold hearings, institute court proceedings if necessary",NA,NA,NA
"49","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BourneMA","Bourne",2285,"Accreditation","Department reviews and amends policies and procedures for compliance with  accreditation standards, best practices in law enforcement, and state law",NA,NA,NA
"48","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BourneMA","Bourne",2102,"Process Bathing Water Quality Reports/ Code Enforcement","Prohibit swimming in water that fails to meet proscribed standards for bathing, 105 CMR 445.10.  Collaborate water sampling with Barnstable County Department of Health and Environment and grants through the Department of Public Health.",NA,NA,NA
"72","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",311,"Employee Hiring","Ensuring that all contingent offers of employment are made in a consistent manner that complies with Department of Labor standards and are done in a fair and impartial manner.","36.644180","-93.232727",11430
"51","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",181,"Engineering Design Standards","Creation  and update of standards for street design, surface water management, water distribution and sanitary sewer services for contractors and consultants.","36.644180","-93.232727",11430
"60","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",187,"CIP Plan Review","Review CIP project plans to ensure that consultant has designed them to meet city standards and specifications.","36.644180","-93.232727",11430
"78","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",636,"Sustainability Research","Continuing efforts to explore and expand new sustainable standards and practices that will benefit the community.","36.644180","-93.232727",11430
"63","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",188,"Commercial Development Plan Review","Review Commercial development plans to ensure that they are designed to meet city standards and specifications.","36.644180","-93.232727",11430
"66","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",189,"Residential Subdivision Plan Review","Review residential subdivision infrastructure plans to ensure that they are designed to meet city standards and specifications.","36.644180","-93.232727",11430
"69","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",297,"Document Archival","Ensuring all employment related documents are retained and secured according to internal procedure and Department of Labor standards.","36.644180","-93.232727",11430
"57","standards","554",NA,"Engineering Design and Construction Standards Development","Manage the development of standard details and city specifications","RX_BransonMO","Branson, MO",183,"Commercial Development Engineering Field Inspections","Daily or weekly visits to review construction of new commercial developments to ensure that infrastructure is built to city standards and specifications.","36.644180","-93.232727",11430
